/home/fluxie/projects/cpp/return_test/cmake-build-release/return_test
Data: 169, Buffer: 256, Duration:186379 ns, Vector: 0, Exceptions: 1
Data: 169, Buffer: 256, Duration:210444 ns, Vector: 1, Exceptions: 1
Data: 169, Buffer: 512, Duration:186039 ns, Vector: 0, Exceptions: 1
Data: 169, Buffer: 512, Duration:200406 ns, Vector: 1, Exceptions: 1
Data: 169, Buffer: 1024, Duration:191329 ns, Vector: 0, Exceptions: 1
Data: 169, Buffer: 1024, Duration:209093 ns, Vector: 1, Exceptions: 1
Data: 169, Buffer: 2048, Duration:186530 ns, Vector: 0, Exceptions: 1
Data: 169, Buffer: 2048, Duration:209082 ns, Vector: 1, Exceptions: 1
Data: 169, Buffer: 4096, Duration:197501 ns, Vector: 0, Exceptions: 1
Data: 169, Buffer: 4096, Duration:212048 ns, Vector: 1, Exceptions: 1
Data: 196, Buffer: 256, Duration:186540 ns, Vector: 0, Exceptions: 1
Data: 196, Buffer: 256, Duration:209453 ns, Vector: 1, Exceptions: 1
Data: 196, Buffer: 512, Duration:186510 ns, Vector: 0, Exceptions: 1
Data: 196, Buffer: 512, Duration:199143 ns, Vector: 1, Exceptions: 1
Data: 196, Buffer: 1024, Duration:186249 ns, Vector: 0, Exceptions: 1
Data: 196, Buffer: 1024, Duration:209093 ns, Vector: 1, Exceptions: 1
Data: 196, Buffer: 2048, Duration:188775 ns, Vector: 0, Exceptions: 1
Data: 196, Buffer: 2048, Duration:208842 ns, Vector: 1, Exceptions: 1
Data: 196, Buffer: 4096, Duration:189084 ns, Vector: 0, Exceptions: 1
Data: 196, Buffer: 4096, Duration:212939 ns, Vector: 1, Exceptions: 1
Data: 225, Buffer: 256, Duration:172313 ns, Vector: 0, Exceptions: 1
Data: 225, Buffer: 256, Duration:208140 ns, Vector: 1, Exceptions: 1
Data: 225, Buffer: 512, Duration:171412 ns, Vector: 0, Exceptions: 1
Data: 225, Buffer: 512, Duration:199144 ns, Vector: 1, Exceptions: 1
Data: 225, Buffer: 1024, Duration:171421 ns, Vector: 0, Exceptions: 1
Data: 225, Buffer: 1024, Duration:208692 ns, Vector: 1, Exceptions: 1
Data: 225, Buffer: 2048, Duration:171421 ns, Vector: 0, Exceptions: 1
Data: 225, Buffer: 2048, Duration:207780 ns, Vector: 1, Exceptions: 1
Data: 225, Buffer: 4096, Duration:181501 ns, Vector: 0, Exceptions: 1
Data: 225, Buffer: 4096, Duration:212760 ns, Vector: 1, Exceptions: 1
Data: 256, Buffer: 256, Duration:103995 ns, Vector: 0, Exceptions: 1
Data: 256, Buffer: 256, Duration:209273 ns, Vector: 1, Exceptions: 1
Data: 256, Buffer: 512, Duration:103995 ns, Vector: 0, Exceptions: 1
Data: 256, Buffer: 512, Duration:199144 ns, Vector: 1, Exceptions: 1
Data: 256, Buffer: 1024, Duration:104626 ns, Vector: 0, Exceptions: 1
Data: 256, Buffer: 1024, Duration:209533 ns, Vector: 1, Exceptions: 1
Data: 256, Buffer: 2048, Duration:108414 ns, Vector: 0, Exceptions: 1
Data: 256, Buffer: 2048, Duration:209092 ns, Vector: 1, Exceptions: 1
Data: 256, Buffer: 4096, Duration:114725 ns, Vector: 0, Exceptions: 1
Data: 256, Buffer: 4096, Duration:212048 ns, Vector: 1, Exceptions: 1
Data: 289, Buffer: 512, Duration:206708 ns, Vector: 0, Exceptions: 1
Data: 289, Buffer: 512, Duration:222146 ns, Vector: 1, Exceptions: 1
Data: 289, Buffer: 1024, Duration:208010 ns, Vector: 0, Exceptions: 1
Data: 289, Buffer: 1024, Duration:223850 ns, Vector: 1, Exceptions: 1
Data: 289, Buffer: 2048, Duration:206708 ns, Vector: 0, Exceptions: 1
Data: 289, Buffer: 2048, Duration:231905 ns, Vector: 1, Exceptions: 1
Data: 289, Buffer: 4096, Duration:206698 ns, Vector: 0, Exceptions: 1
Data: 289, Buffer: 4096, Duration:229751 ns, Vector: 1, Exceptions: 1
Data: 324, Buffer: 512, Duration:209332 ns, Vector: 0, Exceptions: 1
Data: 324, Buffer: 512, Duration:222146 ns, Vector: 1, Exceptions: 1
Data: 324, Buffer: 1024, Duration:208010 ns, Vector: 0, Exceptions: 1
Data: 324, Buffer: 1024, Duration:226194 ns, Vector: 1, Exceptions: 1
Data: 324, Buffer: 2048, Duration:207569 ns, Vector: 0, Exceptions: 1
Data: 324, Buffer: 2048, Duration:233367 ns, Vector: 1, Exceptions: 1
Data: 324, Buffer: 4096, Duration:209262 ns, Vector: 0, Exceptions: 1
Data: 324, Buffer: 4096, Duration:228308 ns, Vector: 1, Exceptions: 1
Data: 361, Buffer: 512, Duration:210675 ns, Vector: 0, Exceptions: 1
Data: 361, Buffer: 512, Duration:222137 ns, Vector: 1, Exceptions: 1
Data: 361, Buffer: 1024, Duration:208010 ns, Vector: 0, Exceptions: 1
Data: 361, Buffer: 1024, Duration:232866 ns, Vector: 1, Exceptions: 1
Data: 361, Buffer: 2048, Duration:208010 ns, Vector: 0, Exceptions: 1
Data: 361, Buffer: 2048, Duration:232827 ns, Vector: 1, Exceptions: 1
Data: 361, Buffer: 4096, Duration:208010 ns, Vector: 0, Exceptions: 1
Data: 361, Buffer: 4096, Duration:229260 ns, Vector: 1, Exceptions: 1
Data: 400, Buffer: 512, Duration:172503 ns, Vector: 0, Exceptions: 1
Data: 400, Buffer: 512, Duration:227376 ns, Vector: 1, Exceptions: 1
Data: 400, Buffer: 1024, Duration:171422 ns, Vector: 0, Exceptions: 1
Data: 400, Buffer: 1024, Duration:227797 ns, Vector: 1, Exceptions: 1
Data: 400, Buffer: 2048, Duration:178715 ns, Vector: 0, Exceptions: 1
Data: 400, Buffer: 2048, Duration:230833 ns, Vector: 1, Exceptions: 1
Data: 400, Buffer: 4096, Duration:180138 ns, Vector: 0, Exceptions: 1
Data: 400, Buffer: 4096, Duration:258735 ns, Vector: 1, Exceptions: 1
Data: 441, Buffer: 512, Duration:246052 ns, Vector: 0, Exceptions: 1
Data: 441, Buffer: 512, Duration:227046 ns, Vector: 1, Exceptions: 1
Data: 441, Buffer: 1024, Duration:246062 ns, Vector: 0, Exceptions: 1
Data: 441, Buffer: 1024, Duration:228559 ns, Vector: 1, Exceptions: 1
Data: 441, Buffer: 2048, Duration:246062 ns, Vector: 0, Exceptions: 1
Data: 441, Buffer: 2048, Duration:230923 ns, Vector: 1, Exceptions: 1
Data: 441, Buffer: 4096, Duration:247624 ns, Vector: 0, Exceptions: 1
Data: 441, Buffer: 4096, Duration:249548 ns, Vector: 1, Exceptions: 1
Data: 484, Buffer: 512, Duration:248596 ns, Vector: 0, Exceptions: 1
Data: 484, Buffer: 512, Duration:234820 ns, Vector: 1, Exceptions: 1
Data: 484, Buffer: 1024, Duration:248596 ns, Vector: 0, Exceptions: 1
Data: 484, Buffer: 1024, Duration:233367 ns, Vector: 1, Exceptions: 1
Data: 484, Buffer: 2048, Duration:248597 ns, Vector: 0, Exceptions: 1
Data: 484, Buffer: 2048, Duration:231233 ns, Vector: 1, Exceptions: 1
Data: 484, Buffer: 4096, Duration:248596 ns, Vector: 0, Exceptions: 1
Data: 484, Buffer: 4096, Duration:245731 ns, Vector: 1, Exceptions: 1
Data: 529, Buffer: 1024, Duration:228318 ns, Vector: 0, Exceptions: 1
Data: 529, Buffer: 1024, Duration:246062 ns, Vector: 1, Exceptions: 1
Data: 529, Buffer: 2048, Duration:228319 ns, Vector: 0, Exceptions: 1
Data: 529, Buffer: 2048, Duration:246062 ns, Vector: 1, Exceptions: 1
Data: 529, Buffer: 4096, Duration:291717 ns, Vector: 0, Exceptions: 1
Data: 529, Buffer: 4096, Duration:261280 ns, Vector: 1, Exceptions: 1
Data: 576, Buffer: 1024, Duration:254147 ns, Vector: 0, Exceptions: 1
Data: 576, Buffer: 1024, Duration:245210 ns, Vector: 1, Exceptions: 1
Data: 576, Buffer: 2048, Duration:263183 ns, Vector: 0, Exceptions: 1
Data: 576, Buffer: 2048, Duration:247183 ns, Vector: 1, Exceptions: 1
Data: 576, Buffer: 4096, Duration:262603 ns, Vector: 0, Exceptions: 1
Data: 576, Buffer: 4096, Duration:270548 ns, Vector: 1, Exceptions: 1
Data: 625, Buffer: 1024, Duration:286638 ns, Vector: 0, Exceptions: 1
Data: 625, Buffer: 1024, Duration:247764 ns, Vector: 1, Exceptions: 1
Data: 625, Buffer: 2048, Duration:286638 ns, Vector: 0, Exceptions: 1
Data: 625, Buffer: 2048, Duration:247033 ns, Vector: 1, Exceptions: 1
Data: 625, Buffer: 4096, Duration:288190 ns, Vector: 0, Exceptions: 1
Data: 625, Buffer: 4096, Duration:261431 ns, Vector: 1, Exceptions: 1
Data: 676, Buffer: 1024, Duration:341971 ns, Vector: 0, Exceptions: 1
Data: 676, Buffer: 1024, Duration:262131 ns, Vector: 1, Exceptions: 1
Data: 676, Buffer: 2048, Duration:342442 ns, Vector: 0, Exceptions: 1
Data: 676, Buffer: 2048, Duration:268223 ns, Vector: 1, Exceptions: 1
Data: 676, Buffer: 4096, Duration:342162 ns, Vector: 0, Exceptions: 1
Data: 676, Buffer: 4096, Duration:281558 ns, Vector: 1, Exceptions: 1
Data: 729, Buffer: 1024, Duration:337373 ns, Vector: 0, Exceptions: 1
Data: 729, Buffer: 1024, Duration:266940 ns, Vector: 1, Exceptions: 1
Data: 729, Buffer: 2048, Duration:337372 ns, Vector: 0, Exceptions: 1
Data: 729, Buffer: 2048, Duration:273032 ns, Vector: 1, Exceptions: 1
Data: 729, Buffer: 4096, Duration:336261 ns, Vector: 0, Exceptions: 1
Data: 729, Buffer: 4096, Duration:285275 ns, Vector: 1, Exceptions: 1
Data: 784, Buffer: 1024, Duration:312005 ns, Vector: 0, Exceptions: 1
Data: 784, Buffer: 1024, Duration:268143 ns, Vector: 1, Exceptions: 1
Data: 784, Buffer: 2048, Duration:315982 ns, Vector: 0, Exceptions: 1
Data: 784, Buffer: 2048, Duration:268113 ns, Vector: 1, Exceptions: 1
Data: 784, Buffer: 4096, Duration:317104 ns, Vector: 0, Exceptions: 1
Data: 784, Buffer: 4096, Duration:294964 ns, Vector: 1, Exceptions: 1
Data: 841, Buffer: 1024, Duration:398398 ns, Vector: 0, Exceptions: 1
Data: 841, Buffer: 1024, Duration:293891 ns, Vector: 1, Exceptions: 1
Data: 841, Buffer: 2048, Duration:398227 ns, Vector: 0, Exceptions: 1
Data: 841, Buffer: 2048, Duration:292990 ns, Vector: 1, Exceptions: 1
Data: 841, Buffer: 4096, Duration:398227 ns, Vector: 0, Exceptions: 1
Data: 841, Buffer: 4096, Duration:297438 ns, Vector: 1, Exceptions: 1
Data: 900, Buffer: 1024, Duration:381505 ns, Vector: 0, Exceptions: 1
Data: 900, Buffer: 1024, Duration:291717 ns, Vector: 1, Exceptions: 1
Data: 900, Buffer: 2048, Duration:381506 ns, Vector: 0, Exceptions: 1
Data: 900, Buffer: 2048, Duration:289874 ns, Vector: 1, Exceptions: 1
Data: 900, Buffer: 4096, Duration:383018 ns, Vector: 0, Exceptions: 1
Data: 900, Buffer: 4096, Duration:303139 ns, Vector: 1, Exceptions: 1
Data: 961, Buffer: 1024, Duration:438823 ns, Vector: 0, Exceptions: 1
Data: 961, Buffer: 1024, Duration:313277 ns, Vector: 1, Exceptions: 1
Data: 961, Buffer: 2048, Duration:438813 ns, Vector: 0, Exceptions: 1
Data: 961, Buffer: 2048, Duration:314550 ns, Vector: 1, Exceptions: 1
Data: 961, Buffer: 4096, Duration:438823 ns, Vector: 0, Exceptions: 1
Data: 961, Buffer: 4096, Duration:317074 ns, Vector: 1, Exceptions: 1
Data: 1024, Buffer: 1024, Duration:393168 ns, Vector: 0, Exceptions: 1
Data: 1024, Buffer: 1024, Duration:309470 ns, Vector: 1, Exceptions: 1
Data: 1024, Buffer: 2048, Duration:398247 ns, Vector: 0, Exceptions: 1
Data: 1024, Buffer: 2048, Duration:309470 ns, Vector: 1, Exceptions: 1
Data: 1024, Buffer: 4096, Duration:398247 ns, Vector: 0, Exceptions: 1
Data: 1024, Buffer: 4096, Duration:333055 ns, Vector: 1, Exceptions: 1

Process finished with exit code 0
